0	0.97	-0.24309	-0.97	0.24309	0	0	0.4662	0.43237	0.4662	0.43237	-0.93241	-0.86473	0
0.0079421	0.97367	-0.23964	-0.96626	0.24651	-0.0074052	-0.0068677	0.45663	0.43471	0.47588	0.42989	-0.93251	-0.8646	0.007942
0.015885	0.97726	-0.23618	-0.96245	0.24992	-0.014812	-0.013734	0.44715	0.43694	0.48567	0.42727	-0.93282	-0.86421	0.015884
0.023826	0.98077	-0.2327	-0.95855	0.2533	-0.022222	-0.020595	0.43778	0.43904	0.49555	0.42452	-0.93333	-0.86356	0.023824
0.031765	0.98421	-0.22921	-0.95458	0.25666	-0.029634	-0.027447	0.42851	0.44103	0.50554	0.42162	-0.93405	-0.86265	0.031759
0.0397	0.98757	-0.2257	-0.95052	0.25999	-0.037049	-0.034288	0.41936	0.44291	0.51561	0.41857	-0.93497	-0.86148	0.039689
0.047629	0.99086	-0.22218	-0.9464	0.2633	-0.044467	-0.041114	0.41031	0.44468	0.52578	0.41537	-0.93609	-0.86005	0.047611
0.055552	0.99408	-0.21865	-0.94219	0.26658	-0.051888	-0.047922	0.40137	0.44635	0.53604	0.41201	-0.93741	-0.85836	0.055523
0.063466	0.99722	-0.21512	-0.93791	0.26982	-0.059312	-0.054708	0.39254	0.44792	0.54639	0.40849	-0.93892	-0.85641	0.063423
0.07137	1.0003	-0.21157	-0.93355	0.27304	-0.06674	-0.061469	0.38382	0.4494	0.55681	0.4048	-0.94063	-0.85419	0.071309
0.079263	1.0033	-0.20802	-0.92911	0.27622	-0.074171	-0.068202	0.37521	0.45078	0.56731	0.40093	-0.94252	-0.85172	0.07918
0.087143	1.0062	-0.20446	-0.9246	0.27936	-0.081606	-0.074903	0.36671	0.45208	0.57789	0.39689	-0.9446	-0.84897	0.087033
0.095009	1.0091	-0.2009	-0.92001	0.28247	-0.089045	-0.08157	0.35832	0.4533	0.58853	0.39267	-0.94685	-0.84597	0.094867
0.10286	1.0118	-0.19733	-0.91535	0.28553	-0.096488	-0.0882	0.35005	0.45444	0.59923	0.38826	-0.94928	-0.8427	0.10268
0.11069	1.0145	-0.19377	-0.91061	0.28856	-0.10393	-0.094788	0.34188	0.45551	0.60999	0.38367	-0.95188	-0.83917	0.11047
0.11851	1.0172	-0.1902	-0.9058	0.29154	-0.11139	-0.10133	0.33383	0.4565	0.62081	0.37888	-0.95463	-0.83538	0.11823
0.12631	1.0198	-0.18664	-0.90092	0.29447	-0.11884	-0.10783	0.32588	0.45743	0.63166	0.37389	-0.95755	-0.83132	0.12597
