0	5.1224e+06	11162	6.7464e+05	0
0.62832	5.1195e+06	13737	6.7495e+05	0.58779
1.2566	5.1159e+06	16904	6.7533e+05	0.95106
1.885	5.1116e+06	20797	6.758e+05	0.95106
2.5133	5.1062e+06	25581	6.7637e+05	0.58779
3.1076	5.1e+06	31111	6.7704e+05	0.034027
3.6382	5.0934e+06	37050	6.7776e+05	-0.47647
4.1055	5.0865e+06	43209	6.7851e+05	-0.82144
4.5386	5.0791e+06	49819	6.7931e+05	-0.98494
4.9214	5.0716e+06	56490	6.8012e+05	-0.97824
5.2786	5.0637e+06	63510	6.8097e+05	-0.84396
5.6135	5.0554e+06	70871	6.8187e+05	-0.6207
5.9291	5.0468e+06	78569	6.8281e+05	-0.34677
6.2274	5.0378e+06	86601	6.838e+05	-0.055796
6.4955	5.0289e+06	94505	6.8477e+05	0.21076
6.7506	5.0197e+06	1.0267e+05	6.8577e+05	0.45056
6.9938	5.0103e+06	1.111e+05	6.8681e+05	0.65229
7.2263	5.0005e+06	1.1979e+05	6.8788e+05	0.8094
7.4491	4.9905e+06	1.2873e+05	6.8899e+05	0.91915
7.663	4.9801e+06	1.3792e+05	6.9013e+05	0.98183
7.8689	4.9695e+06	1.4736e+05	6.913e+05	0.99989
8.0672	4.9586e+06	1.5704e+05	6.9251e+05	0.97735
8.2587	4.9475e+06	1.6697e+05	6.9375e+05	0.91921
8.4438	4.936e+06	1.7713e+05	6.9502e+05	0.83101
8.6231	4.9243e+06	1.8754e+05	6.9632e+05	0.71853
8.7969	4.9123e+06	1.9818e+05	6.9766e+05	0.58747
8.957	4.9007e+06	2.0849e+05	6.9897e+05	0.45091
9.1127	4.8889e+06	2.19e+05	7.003e+05	0.30706
9.2642	4.8768e+06	2.297e+05	7.0166e+05	0.1599
9.4118	4.8645e+06	2.4061e+05	7.0304e+05	0.012997
9.5557	4.852e+06	2.517e+05	7.0446e+05	-0.13055
9.6962	4.8393e+06	2.6299e+05	7.059e+05	-0.26806
9.8334	4.8263e+06	2.7447e+05	7.0738e+05	-0.39731
9.9675	4.8132e+06	2.8614e+05	7.0888e+05	-0.51646
10.099	4.7998e+06	2.98e+05	7.1041e+05	-0.62407
10.227	4.7862e+06	3.1005e+05	7.1198e+05	-0.71904
