0	1	0	1	1	0
0.011	0.99939	0.0109966	0.999679	0.99939	0.0109966
0.022	0.998779	0.0219866	0.999294	0.998779	0.0219866
0.033	0.998169	0.0329698	0.998845	0.998169	0.0329698
0.044	0.997558	0.0439463	0.998333	0.997558	0.0439463
0.055	0.996948	0.0549161	0.997758	0.996948	0.0549161
0.066	0.996337	0.0658791	0.997119	0.996337	0.0658791
0.077	0.995727	0.0768355	0.996416	0.995727	0.0768355
0.088	0.995116	0.0877851	0.99565	0.995116	0.0877851
0.099	0.994506	0.098728	0.99482	0.994506	0.098728
0.11	0.993895	0.109664	0.993927	0.993895	0.109664
0.121	0.992194	0.120588	0.993762	0.992194	0.120588
0.132	0.99037	0.131492	0.993515	0.99037	0.131492
0.143	0.988546	0.142376	0.993091	0.988546	0.142376
0.154	0.986722	0.15324	0.99249	0.986722	0.15324
0.165	0.984898	0.164084	0.991713	0.984898	0.164084
0.176	0.983074	0.174908	0.990759	0.983074	0.174908
0.187	0.98125	0.185712	0.989628	0.98125	0.185712
0.198	0.979426	0.196496	0.98832	0.979426	0.196496
0.209	0.977602	0.207259	0.986836	0.977602	0.207259
0.22	0.975779	0.218003	0.985175	0.975779	0.218003
0.231	0.973004	0.228722	0.975391	0.973004	0.228722
0.242	0.969989	0.239409	0.975315	0.969989	0.239409
0.253	0.966975	0.250062	0.975179	0.966975	0.250062
0.264	0.96396	0.260682	0.974984	0.96396	0.260682
0.275	0.960945	0.271269	0.97473	0.960945	0.271269
0.286	0.95793	0.281823	0.974417	0.95793	0.281823
0.297	0.954915	0.292344	0.974045	0.954915	0.292344
0.308	0.9519	0.302831	0.973614	0.9519	0.302831
0.319	0.948885	0.313285	0.973124	0.948885	0.313285
0.33	0.945871	0.323707	0.972574	0.945871	0.323707
0.341	0.942052	0.334092	0.944916	0.942052	0.334092
0.352	0.937883	0.344431	0.944713	0.937883	0.344431
0.363	0.933714	0.354725	0.944341	0.933714	0.354725
0.374	0.929546	0.364973	0.9438	0.929546	0.364973
0.385	0.925377	0.375175	0.943089	0.925377	0.375175
0.396	0.921208	0.385331	0.942209	0.921208	0.385331
0.407	0.91704	0.395442	0.941159	0.91704	0.395442
0.418	0.912871	0.405506	0.93994	0.912871	0.405506
0.429	0.908703	0.415525	0.938552	0.908703	0.415525
0.44	0.904534	0.425498	0.936994	0.904534	0.425498
0.451	0.899708	0.435422	0.902841	0.899708	0.435422
0.462	0.894437	0.44529	0.902787	0.894437	0.44529
0.473	0.889166	0.4551	0.902685	0.889166	0.4551
0.484	0.883895	0.464852	0.902534	0.883895	0.464852
0.495	0.878625	0.474546	0.902333	0.878625	0.474546
0.506	0.873354	0.484182	0.902084	0.873354	0.484182
0.517	0.868083	0.493759	0.901786	0.868083	0.493759
0.528	0.862812	0.503279	0.901439	0.862812	0.503279
0.539	0.857541	0.512741	0.901043	0.857541	0.512741
0.55	0.85227	0.522145	0.900598	0.85227	0.522145
0.561	0.846485	0.53149	0.849588	0.846485	0.53149
0.572	0.840177	0.540766	0.849433	0.840177	0.540766
0.583	0.833869	0.549974	0.84912	0.833869	0.549974
0.594	0.82756	0.559112	0.848652	0.82756	0.559112
0.605	0.821252	0.56818	0.848027	0.821252	0.56818
0.616	0.814944	0.577179	0.847245	0.814944	0.577179
0.627	0.808635	0.586109	0.846307	0.808635	0.586109
0.638	0.802327	0.594969	0.845212	0.802327	0.594969
0.649	0.796019	0.60376	0.843961	0.796019	0.60376
0.66	0.78971	0.612481	0.842553	0.78971	0.612481
0.671	0.783024	0.621133	0.785885	0.783024	0.621133
0.682	0.775756	0.629706	0.785855	0.775756	0.629706
0.693	0.768488	0.638199	0.785791	0.768488	0.638199
0.704	0.761221	0.646613	0.785694	0.761221	0.646613
0.715	0.753953	0.654946	0.785564	0.753953	0.654946
0.726	0.746685	0.6632	0.7854	0.746685	0.6632
0.737	0.739417	0.671373	0.785203	0.739417	0.671373
0.748	0.732149	0.679467	0.784972	0.732149	0.679467
0.759	0.724881	0.687481	0.784707	0.724881	0.687481
0.77	0.717614	0.695414	0.784409	0.717614	0.695414
0.781	0.710091	0.703268	0.712469	0.710091	0.703268
0.792	0.701953	0.711034	0.712359	0.701953	0.711034
0.803	0.693815	0.718711	0.71211	0.693815	0.718711
0.814	0.685678	0.726298	0.711722	0.685678	0.726298
0.825	0.67754	0.733796	0.711196	0.67754	0.733796
0.836	0.669402	0.741204	0.710531	0.669402	0.741204
0.847	0.661264	0.748522	0.709727	0.661264	0.748522
0.858	0.653127	0.755752	0.708785	0.653127	0.755752
0.869	0.644989	0.762891	0.707704	0.644989	0.762891
0.88	0.636851	0.769941	0.706484	0.636851	0.769941
0.891	0.628566	0.776902	0.630275	0.628566	0.776902
0.902	0.619658	0.783767	0.630265	0.619658	0.783767
0.913	0.610751	0.790534	0.630242	0.610751	0.790534
0.924	0.601844	0.797204	0.630206	0.601844	0.797204
0.935	0.592936	0.803775	0.630155	0.592936	0.803775
0.946	0.584029	0.810248	0.630091	0.584029	0.810248
0.957	0.575122	0.816623	0.630014	0.575122	0.816623
0.968	0.566214	0.822901	0.629923	0.566214	0.822901
0.979	0.557307	0.82908	0.629818	0.557307	0.82908
0.99	0.5484	0.835162	0.6297	0.5484	0.835162
1.001	0.539433	0.841145	0.540302	0.539433	0.841145
1.012	0.529866	0.847026	0.540233	0.529866	0.847026
1.023	0.520299	0.852802	0.540047	0.520299	0.852802
1.034	0.510732	0.858473	0.539743	0.510732	0.858473
1.045	0.501165	0.864038	0.539323	0.501165	0.864038
1.056	0.491598	0.869498	0.538786	0.491598	0.869498
1.067	0.482031	0.874853	0.538132	0.482031	0.874853
1.078	0.472464	0.880103	0.537361	0.472464	0.880103
