0	1	0	-0.0994446	1	0	-0.171846
0.011	0.998868	0.0109938	-0.106362	0.998109	0.0109896	-0.171965
0.022	0.99766	0.0219748	-0.113279	0.996216	0.0219584	-0.172321
0.033	0.996376	0.0329421	-0.120196	0.994317	0.0329063	-0.172915
0.044	0.995016	0.0438948	-0.127114	0.992411	0.0438333	-0.173746
0.055	0.993579	0.0548322	-0.134031	0.990494	0.0547393	-0.174814
0.066	0.992067	0.0657533	-0.140948	0.988564	0.0656242	-0.17612
0.077	0.990479	0.0766573	-0.147866	0.986619	0.0764877	-0.177664
0.088	0.988814	0.0875435	-0.154783	0.984655	0.0873297	-0.179445
0.099	0.987073	0.098411	-0.1617	0.98267	0.09815	-0.181463
0.11	0.985257	0.109259	-0.168617	0.980662	0.108948	-0.183719
0.121	0.983364	0.120086	-0.175535	0.978627	0.119724	-0.186213
0.132	0.981395	0.130893	-0.182452	0.976564	0.130478	-0.188943
0.143	0.97935	0.141677	-0.189369	0.97447	0.141209	-0.191912
0.154	0.977229	0.152438	-0.196286	0.972341	0.151916	-0.195117
0.165	0.975032	0.163176	-0.203204	0.970176	0.1626	-0.198561
0.176	0.972758	0.173888	-0.210121	0.967972	0.17326	-0.202241
0.187	0.970409	0.184576	-0.217038	0.965726	0.183895	-0.206159
0.198	0.967983	0.195237	-0.223955	0.963436	0.194506	-0.210315
0.209	0.965482	0.205871	-0.230873	0.961098	0.205091	-0.214708
0.22	0.962904	0.216477	-0.23779	0.958711	0.21565	-0.219339
0.231	0.96025	0.227055	-0.244707	0.956272	0.226182	-0.224207
0.242	0.957521	0.237603	-0.251625	0.953778	0.236688	-0.229312
0.253	0.954715	0.24812	-0.258542	0.951226	0.247165	-0.234655
0.264	0.951833	0.258606	-0.265459	0.948614	0.257614	-0.240235
0.275	0.948875	0.26906	-0.272376	0.94594	0.268034	-0.246053
0.286	0.94584	0.279481	-0.279294	0.9432	0.278425	-0.252109
0.297	0.94273	0.289868	-0.286211	0.940393	0.288785	-0.258401
0.308	0.939544	0.300221	-0.293128	0.937515	0.299113	-0.264931
0.319	0.936281	0.310538	-0.300045	0.934563	0.30941	-0.271699
0.33	0.932943	0.320819	-0.306963	0.931536	0.319673	-0.278704
0.341	0.929528	0.331062	-0.31388	0.928431	0.329903	-0.285947
0.352	0.926037	0.341268	-0.320797	0.925245	0.340098	-0.293427
0.363	0.922471	0.351435	-0.327714	0.921975	0.350258	-0.301145
0.374	0.918828	0.361562	-0.334632	0.918619	0.360382	-0.3091
0.385	0.915109	0.371649	-0.341549	0.915174	0.370467	-0.317292
0.396	0.911314	0.381694	-0.348466	0.911637	0.380515	-0.325722
0.407	0.907442	0.391698	-0.355384	0.908007	0.390523	-0.334389
0.418	0.903495	0.401658	-0.362301	0.90428	0.400491	-0.343294
0.429	0.899472	0.411574	-0.369218	0.900454	0.410417	-0.352436
0.44	0.895372	0.421446	-0.376135	0.896525	0.4203	-0.361816
0.451	0.891197	0.431272	-0.383053	0.892493	0.43014	-0.371433
0.462	0.886945	0.441052	-0.38997	0.888353	0.439935	-0.381288
0.473	0.882618	0.450785	-0.396887	0.884104	0.449684	-0.39138
0.484	0.878214	0.460469	-0.403804	0.879742	0.459385	-0.40171
0.495	0.873734	0.470105	-0.410722	0.875265	0.469037	-0.412277
0.506	0.869178	0.479691	-0.417639	0.870671	0.47864	-0.423082
0.517	0.864546	0.489227	-0.424556	0.865956	0.488192	-0.434124
0.528	0.859838	0.498711	-0.431473	0.861119	0.497691	-0.445403
0.539	0.855053	0.508143	-0.438391	0.856157	0.507136	-0.45692
0.55	0.850193	0.517522	-0.445308	0.851066	0.516526	-0.468674
0.561	0.845257	0.526847	-0.452225	0.845845	0.525859	-0.480666
0.572	0.840244	0.536117	-0.459143	0.840491	0.535134	-0.492896
0.583	0.835152	0.545332	-0.46756	0.835	0.544349	-0.505335
0.594	0.829949	0.55449	-0.478549	0.829374	0.553503	-0.517688
0.605	0.824624	0.56359	-0.489538	0.823612	0.562595	-0.529875
0.616	0.819179	0.572631	-0.500527	0.817717	0.571622	-0.541895
0.627	0.813613	0.581612	-0.511516	0.811691	0.580584	-0.553748
0.638	0.807926	0.59053	-0.522505	0.805535	0.589479	-0.565435
0.649	0.802118	0.599386	-0.533494	0.799252	0.598305	-0.576955
0.66	0.796189	0.608176	-0.544483	0.792843	0.607062	-0.588308
0.671	0.790139	0.616901	-0.555471	0.78631	0.615748	-0.599495
0.682	0.783968	0.625559	-0.56646	0.779654	0.62436	-0.610515
0.693	0.777677	0.634148	-0.577449	0.772879	0.6329	-0.621368
0.704	0.771265	0.642668	-0.588438	0.765985	0.641363	-0.632055
0.715	0.764731	0.651116	-0.599427	0.758974	0.649751	-0.642575
0.726	0.758077	0.659491	-0.610416	0.751849	0.65806	-0.652928
0.737	0.751302	0.667793	-0.621405	0.744611	0.666291	-0.663115
0.748	0.744406	0.676019	-0.632394	0.737261	0.674441	-0.673135
0.759	0.737389	0.684169	-0.643383	0.729802	0.68251	-0.682989
0.77	0.730252	0.692242	-0.654372	0.722236	0.690497	-0.692675
0.781	0.722993	0.700234	-0.665361	0.714564	0.698399	-0.702196
0.792	0.715614	0.708147	-0.67635	0.706788	0.706217	-0.711549
0.803	0.708114	0.715978	-0.687339	0.69891	0.713948	-0.720736
0.814	0.700492	0.723725	-0.698328	0.690933	0.721592	-0.729756
0.825	0.69275	0.731388	-0.709317	0.682856	0.729148	-0.738609
0.836	0.684887	0.738965	-0.720306	0.674684	0.736615	-0.747296
