2.9732	0.16739	-0.98589	0.16762
2.9947	0.14611	-0.98927	0.14634
3.0163	0.12476	-0.99219	0.12499
3.0378	0.10336	-0.99465	0.10359
3.0594	0.081905	-0.99664	0.082141
3.0809	0.060413	-0.99818	0.060651
3.1024	0.038894	-0.99925	0.039134
3.124	0.017356	-0.99985	0.017598
3.1455	-0.0041893	-1	-0.0039459
3.1671	-0.025733	-0.99967	-0.025488
3.1886	-0.047265	-0.99889	-0.047018
3.2102	-0.068775	-0.99764	-0.068527
3.2317	-0.090252	-0.99592	-0.090003
3.2533	-0.11169	-0.99375	-0.11144
3.2748	-0.13307	-0.99111	-0.13282
3.2964	-0.15439	-0.98801	-0.15414
3.3179	-0.17565	-0.98446	-0.17539
3.3394	-0.19681	-0.98044	-0.19656
3.361	-0.21789	-0.97598	-0.21764
3.3825	-0.23887	-0.97106	-0.23861
3.4041	-0.25973	-0.96568	-0.25948
3.4256	-0.28048	-0.95986	-0.28022
3.4472	-0.30109	-0.9536	-0.30084
3.4687	-0.32157	-0.94689	-0.32131
3.4903	-0.3419	-0.93974	-0.34164
3.5118	-0.36206	-0.93216	-0.36181
3.5333	-0.38206	-0.92414	-0.38181
3.5549	-0.40188	-0.9157	-0.40163
3.5764	-0.42152	-0.90682	-0.42127
3.598	-0.44096	-0.89753	-0.44071
3.6195	-0.46019	-0.88782	-0.45994
3.6411	-0.47921	-0.8777	-0.47897
3.6626	-0.49801	-0.86717	-0.49777
3.6842	-0.51658	-0.85624	-0.51633
3.7057	-0.53491	-0.84492	-0.53466
3.7272	-0.55299	-0.83319	-0.55275
3.7488	-0.57081	-0.82109	-0.57057
3.7703	-0.58837	-0.8086	-0.58813
3.7919	-0.60565	-0.79574	-0.60542
3.8134	-0.62266	-0.7825	-0.62242
3.835	-0.63937	-0.76891	-0.63914
3.8565	-0.65579	-0.75495	-0.65556
3.8781	-0.6719	-0.74065	-0.67168
3.8996	-0.6877	-0.726	-0.68748
3.9212	-0.70318	-0.71101	-0.70296
3.9427	-0.71834	-0.6957	-0.71812
