0	0	0	0	0	0	0	
0.019608	0.061564	0.0615609	-0.12289	-0.122888	0.18376	0.18375	
0.039216	0.12289	0.122888	-0.24393	-0.243914	0.36126	0.361242	
0.058824	0.18376	0.18375	-0.36126	-0.361242	0.52646	0.526432	
0.078431	0.24393	0.243914	-0.47312	-0.473094	0.67373	0.673696	
0.098039	0.30317	0.303153	-0.5778	-0.577774	0.79806	0.798017	
0.11765	0.36126	0.361242	-0.67373	-0.673696	0.89521	0.895163	
0.13725	0.41798	0.41796	-0.75944	-0.759405	0.96187	0.961826	
0.15686	0.47312	0.473094	-0.83364	-0.833602	0.99578	0.995734	
0.17647	0.52646	0.526432	-0.89521	-0.895163	0.99578	0.995734	
0.19608	0.5778	0.577774	-0.9432	-0.943154	0.96187	0.961826	
0.21569	0.62695	0.626924	-0.9769	-0.976848	0.89521	0.895163	
0.23529	0.67373	0.673696	-0.99578	-0.995734	0.79806	0.798017	
0.2549	0.71795	0.717912	-0.99957	-0.999526	0.67373	0.673696	
0.27451	0.75944	0.759405	-0.98821	-0.988165	0.52646	0.526432	
0.29412	0.79806	0.798017	-0.96187	-0.961826	0.36126	0.361242	
0.31373	0.83364	0.833602	-0.92095	-0.920906	0.18376	0.18375	
0.33333	0.86607	0.866025	-0.86607	-0.866025	2.1427e-09	1.22465e-16	
0.35294	0.89521	0.895163	-0.79806	-0.798017	-0.18376	-0.18375	
0.37255	0.92095	0.920906	-0.71795	-0.717912	-0.36126	-0.361242	
0.39216	0.9432	0.943154	-0.62695	-0.626924	-0.52646	-0.526432	
0.41176	0.96187	0.961826	-0.52646	-0.526432	-0.67373	-0.673696	
0.43137	0.9769	0.976848	-0.41798	-0.41796	-0.79806	-0.798017	
0.45098	0.98821	0.988165	-0.30317	-0.303153	-0.89521	-0.895163	
0.47059	0.99578	0.995734	-0.18376	-0.18375	-0.96187	-0.961826	
0.4902	0.99957	0.999526	-0.061564	-0.0615609	-0.99578	-0.995734	
0.5098	0.99957	0.999526	0.061564	0.0615609	-0.99578	-0.995734	
0.52941	0.99578	0.995734	0.18376	0.18375	-0.96187	-0.961826	
0.54902	0.98821	0.988165	0.30317	0.303153	-0.89521	-0.895163	
0.56863	0.9769	0.976848	0.41798	0.41796	-0.79806	-0.798017	
0.58824	0.96187	0.961826	0.52646	0.526432	-0.67373	-0.673696	
0.60784	0.9432	0.943154	0.62695	0.626924	-0.52646	-0.526432	
0.62745	0.92095	0.920906	0.71795	0.717912	-0.36126	-0.361242	
0.64706	0.89521	0.895163	0.79806	0.798017	-0.18376	-0.18375	
0.66667	0.86607	0.866025	0.86607	0.866025	1.5938e-09	-2.44929e-16	
0.68627	0.83364	0.833602	0.92095	0.920906	0.18376	0.18375	
0.70588	0.79806	0.798017	0.96187	0.961826	0.36126	0.361242	
0.72549	0.75944	0.759405	0.98821	0.988165	0.52646	0.526432	
0.7451	0.71795	0.717912	0.99957	0.999526	0.67373	0.673696	
0.76471	0.67373	0.673696	0.99578	0.995734	0.79806	0.798017	
0.78431	0.62695	0.626924	0.9769	0.976848	0.89521	0.895163	
0.80392	0.5778	0.577774	0.9432	0.943154	0.96187	0.961826	
0.82353	0.52646	0.526432	0.89521	0.895163	0.99578	0.995734	
0.84314	0.47312	0.473094	0.83364	0.833602	0.99578	0.995734	
0.86275	0.41798	0.41796	0.75944	0.759405	0.96187	0.961826	
0.88235	0.36126	0.361242	0.67373	0.673696	0.89521	0.895163	
0.90196	0.30317	0.303153	0.5778	0.577774	0.79806	0.798017	
0.92157	0.24393	0.243914	0.47312	0.473094	0.67373	0.673696	
0.94118	0.18376	0.18375	0.36126	0.361242	0.52646	0.526432	
0.96078	0.12289	0.122888	0.24393	0.243914	0.36126	0.361242	
0.98039	0.061564	0.0615609	0.12289	0.122888	0.18376	0.18375	
1	0	0	0	0	0	0	
